frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
61,0,2.002,0.98,1,-0.53,0.23,-1.52,-0.45,0.51,0.86,0.52,-0.02,1.18,-0.51,-0.27,0.82,1.14,0.02,0.39,0.53,0.24,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
62,0,2.035,0.93,1,-0.26,0.39,-1.67,0.33,0.66,-0.09,0.60,0.25,1.31,-0.30,-0.57,0.90,1.01,0.01,-0.19,0.52,0.17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63,0,2.069,0.98,1,-0.41,-0.51,-1.87,0.15,0.49,0.08,0.72,0.47,1.33,-0.36,-0.83,0.87,0.56,0.29,-0.45,0.58,-0.28,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64,0,2.102,0.98,1,-0.55,-1.09,-2.33,0.17,0.65,-0.08,0.85,0.27,1.30,-0.22,-0.84,1.27,1.12,0.64,-0.87,0.78,-0.64,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65,0,2.135,0.98,1,-0.76,-1.11,-2.18,0.57,0.79,0.34,0.99,0.37,1.51,-0.46,-0.60,0.99,1.50,0.82,-0.62,-0.13,-0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,0,2.169,0.98,1,-0.73,-1.07,-2.23,0.61,0.63,0.12,1.07,0.90,1.49,-0.28,-0.36,0.89,1.59,0.75,-0.55,0.77,-0.54,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
67,0,2.202,0.93,1,-0.86,-1.07,-2.27,0.00,0.65,0.57,0.87,0.78,1.59,-0.25,-0.18,0.56,1.50,0.41,0.05,0.53,-0.41,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,0,2.236,0.93,1,-0.97,-1.06,-2.22,0.17,0.91,0.60,0.87,0.90,1.82,-0.57,0.18,0.59,1.86,0.62,0.60,0.34,-0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,0,2.269,0.98,1,-0.84,-1.24,-1.99,-0.41,0.45,0.43,0.61,1.00,1.71,-0.40,0.20,0.77,1.91,0.73,0.41,-0.09,-0.58,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
70,0,2.302,0.98,1,-0.73,-0.98,-1.94,0.05,0.35,-0.47,0.73,0.55,1.42,-0.31,0.13,0.68,1.98,0.79,0.77,-0.48,-0.85,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
